Azimuth_deg,MSE,FinalMaxMin,MaxMin,RadarOnly
-90,3.05300934401475,8.17964725305929,NaN,0.96389623753724
-89.9,3.05300836984477,8.17964534121982,NaN,0.963896237356442
-89.8,3.05300546008107,8.17963959602927,NaN,0.963896234644468
-89.7,3.05300065296296,8.17962998847159,NaN,0.963896222892616
-89.6,3.05299401222467,8.17961647018786,NaN,0.963896191253172
-89.5,3.05298562709834,8.17959897347812,NaN,0.963896124539609
-89.4,3.05297561231824,8.17957741130381,NaN,0.963896003226909
-89.3,3.05296410812609,8.17955167729121,NaN,0.96389580345205
-89.2,3.05295128027751,8.17952164573543,NaN,0.963895497014696
-89.1,3.05293732004948,8.17948717160553,NaN,0.963895051378181
-89,3.0529224442488,8.1794480905504,NaN,0.963894429670824
-88.9,3.05290689522146,8.17940421890568,NaN,0.9638935906877
-88.8,3.0528909408628,8.17935535370185,NaN,0.963892488892935
-88.7,3.05287487462843,8.17930127267334,NaN,0.963891074422657
-88.6,3.05285901554578,8.17924173426905,NaN,0.963889293088704
-88.5,3.05284370822615,8.17917647766416,NaN,0.963887086383239
-88.4,3.05282932287714,8.17910522277345,NaN,0.963884391484406
-88.3,3.05281625531536,8.17902767026625,NaN,0.96388114126318
-88.2,3.05280492697927,8.17894350158316,NaN,0.963877264291595
-88.1,3.05279578494193,8.17885237895458,NaN,0.963872684852498
-88,3.05278930192362,8.17875394542143,NaN,0.96386732295105
-87.9,3.05278597630404,8.17864782485794,NaN,0.963861094328154
-87.8,3.05278633213402,8.17853362199693,NaN,0.963853910476038
-87.7,3.05279091914639,8.17841092245761,NaN,0.963845678656189
-87.6,3.05280031276605,8.17827929277612,NaN,0.963836301919911
-87.5,3.05281511411872,8.17813828043909,NaN,0.96382567913172
-87.4,3.05283595003847,8.17798741392027,NaN,0.963813704995849
-87.3,3.05286347307356,8.17782620272066,NaN,0.963800270086124
-87.2,3.05289836149044,8.17765413741213,NaN,0.963785260879501
-87.1,3.05294131927568,8.17747068968498,NaN,0.963768559793523
-87,3.05299307613555,8.17727531239954,NaN,0.963750045228047
-86.9,3.05305438749292,8.17706743964212,NaN,0.963729591611507
-86.8,3.05312603448137,8.1768464867856,NaN,0.963707069452042
-86.7,3.05320882393594,8.17661185055487,NaN,0.963682345393851
-86.6,3.05330358838056,8.17636290909741,NaN,0.963655282279078
-86.5,3.05341118601159,8.17609902205938,NaN,0.963625739215604
-86.4,3.05353250067725,8.17581953066742,NaN,0.963593571651095
-86.3,3.05366844185261,8.1755237578165,NaN,0.963558631453684
-86.2,3.05381994460984,8.17521100816414,NaN,0.963520766999672
-86.1,3.05398796958329,8.17488056823137,NaN,0.963479823268626
-86,3.05417350292913,8.17453170651065,NaN,0.963435641946281
-85.9,3.05437755627908,8.17416367358117,NaN,0.963388061535667
-85.8,3.05460116668807,8.17377570223195,NaN,0.963336917476856
-85.7,3.05484539657514,8.17336700759281,NaN,0.963282042275764
-85.6,3.05511133365748,8.17293678727406,NaN,0.963223265642455
-85.5,3.05540009087705,8.17248422151471,NaN,0.963160414639371
-85.4,3.0557128063194,8.17200847334004,NaN,0.963093313839941
-85.3,3.05605064312436,8.17150868872872,NaN,0.963021785498044
-85.2,3.05641478938802,8.1709839967898,NaN,0.962945649728753
-85.1,3.05680645805577,8.17043350995021,NaN,0.962864724700876
-85,3.05722688680576,8.16985632415289,NaN,0.962778826841725
