Azimuth_deg,MSE,FinalMaxMin,MaxMin,RadarOnly
-90,1.5662516534505,3.36345089306848,2.24442976851785,0.963896002638139
-89.9,1.56624784698938,3.36344722801604,2.24442977658512,0.96389600245734
-89.8,1.56623643238388,3.36343623688153,2.24442979681442,0.963895999745364
-89.7,1.5662174239683,3.36341793173437,2.2444298172882,0.963895987993508
-89.6,1.56619084563571,3.36339233269326,2.24442981814405,0.96389595635405
-89.5,1.56615673084167,3.36335946793075,2.24442977157496,0.963895889640454
-89.4,1.56611512260963,3.36331937367958,2.2444296418296,0.963895768327698
-89.3,1.56606607353772,3.3632720942407,2.24442938521277,0.963895568552745
-89.2,1.56600964580721,3.36321768199313,2.24442895008584,0.96389526211525
-89.1,1.56594591119242,3.36315619740538,2.2444282768673,0.963894816478527
-89,1.56587495107233,3.3630877090485,2.24442729803331,0.963894194770882
-88.9,1.56579685644366,3.36301229361074,2.24442593811822,0.963893355787366
-88.8,1.56571172793568,3.36293003591356,2.2444241137152,0.963892253992089
-88.7,1.56561967582657,3.36284102892917,2.2444217334767,0.963890839521152
-88.6,1.56552082006155,3.36274537379919,2.24441869811492,0.96388905818637
-88.5,1.5654152902726,3.36264317985465,2.24441490040219,0.963886851479879
-88.4,1.5653032258,3.36253456463697,2.24441022517113,0.963884156579791
-88.3,1.56518477571559,3.36241965391995,2.24440454931478,0.963880906357052
-88.2,1.56506009884784,3.36229858173257,2.24439774178641,0.963877029383663
-88.1,1.56492936380878,3.36217149038249,2.24438966359912,0.963872449942434
-88,1.56479274902276,3.36203853048007,2.24438016782515,0.963867088038489
-87.9,1.56465044275719,3.36189986096282,2.24436909959486,0.963860859412695
-87.8,1.56450264315522,3.36175564912006,2.24435629609529,0.963853675557234
-87.7,1.56434955827044,3.36160607061767,2.2443415865683,0.963845443733552
-87.6,1.56419140610366,3.36145130952259,2.24432479230816,0.963836066992907
-87.5,1.56402841464179,3.36129155832714,2.24430572665871,0.96382544419977
-87.4,1.5638608218989,3.36112701797282,2.24428419500975,0.963813470058323
-87.3,1.56368887595949,3.36095789787322,2.24425999479284,0.963800035142341
-87.2,1.5635128350241,3.3607844159362,2.24423291547636,0.963785025928726
-87.1,1.56333296745719,3.36060679858473,2.2442027385597,0.963768324834967
