Azimuth_deg,MSE,FinalMaxMin,MaxMin,RadarOnly
-90,1.74276990799415,4.43656166167962,2.24634295716454,0.963896451317508
-89.9,1.74276014614898,4.43656426534036,2.24634224579612,0.963896451136709
-89.8,1.74273087650109,4.43657208674068,2.24634010801428,0.963896448424736
-89.7,1.74268214671685,4.43658515713729,2.24633653278927,0.96389643667289
-89.6,1.74261403625189,4.43660352863293,2.24633150173807,0.963896405033462
-89.5,1.74252665636843,4.4366272741886,2.24632498912418,0.963896338319932
-89.4,1.74242015015976,4.43665648764068,2.24631696185739,0.963896217007292
-89.3,1.74229469258138,4.43669128372285,2.24630737949343,0.963896017232531
-89.2,1.74215049048917,4.43673179809266,2.24629619423351,0.963895710795331
-89.1,1.74198778268422,4.43677818736281,2.24628335092374,0.963895265159037
-89,1.74180683996438,4.4368306291369,2.24626878705443,0.963894643451989
-88.9,1.74160796518242,4.43688932204955,2.24625243275914,0.963893804469281
-88.8,1.74139149331072,4.43695448581082,2.24623421081367,0.963892702675063
-88.7,1.74115779151234,4.4370263612547,2.24621403663473,0.963891288205486
-88.6,1.74090725921834,4.43710521039152,2.24619181827835,0.963889506872417
-88.5,1.74064032821124,4.43719131646409,2.24616745643809,0.963887300168047
-88.4,1.74035746271453,4.43728498400736,2.24614084444281,0.963884605270552
-88.3,1.74005915948791,4.43738653891137,2.24611186825418,0.963881355050939
-88.2,1.73974594792823,4.43749632848725,2.24608040646364,0.963877478081278
-88.1,1.73941839017592,4.43761472153605,2.24604633028906,0.963872898644453
-88,1.73907708122664,4.43774210842003,2.24600950357071,0.963867536745665
-87.9,1.73872264904801,4.4378789011362,2.24596978276687,0.963861308125862
-87.8,1.73835575470117,4.43802553339181,2.24592701694859,0.96385412427731
-87.7,1.73797709246696,4.43818246068135,2.24588104779395,0.963845892461548
-87.6,1.73758738997641,4.43835016036489,2.24583170958149,0.963836515729924
-87.5,1.73718740834536,4.43852913174716,2.24577882918284,0.963825892947007
-87.4,1.73677794231283,4.4387198961573,2.24572222605452,0.963813918817081
-87.3,1.73635982038297,4.43892299702856,2.24566171222866,0.963800483914029
-87.2,1.73593390497022,4.43913899997779,2.24559709230292,0.963785474714858
-87.1,1.73550109254734,4.43936849288411,2.24552816342908,0.963768773637176
-87,1.73506231379604,4.43961208596645,2.24545471530064,0.963750259080899
-86.9,1.73461853375986,4.43987041185936,2.24537653013905,0.96372980547452
-86.8,1.73417075199886,4.44014412568674,2.24529338267866,0.963707283326248
-86.7,1.73372000274591,4.44043390513286,2.24520504015025,0.963682559280347
-86.6,1.73326735506399,4.44074045051023,2.24511126226296,0.963655496179029
-86.5,1.73281391300431,4.44106448482381,2.24501180118482,0.963625953130247
-86.4,1.73236081576466,4.44140675383082,2.24490640152135,0.96359378558174
-86.3,1.73190923784766,4.4417680260959,2.24479480029253,0.963558845401715
-86.2,1.73146038921852,4.44214909304068,2.24467672690791,0.963520980966552
-86.1,1.7310155154616,4.44255076898737,2.2445519031396,0.963480037255892
-86,1.73057589793568,4.44297389119574,2.24442004309336,0.963435855955555
-85.9,1.73014285392711,4.44341931989272,2.24428085317738,0.963388275568654
-85.8,1.72971773680055,4.44388793829407,2.24413403206893,0.963337131535341
-85.7,1.72930193614667,4.44438065261744,2.24397927067847,0.96328225636162
-85.6,1.72889687792631,4.44489839208604,2.24381625211147,0.963223479757645
-85.5,1.72850402461067,4.44544210892232,2.24364465162752,0.963160628785945
-85.4,1.72812487531671,4.44601277833088,2.24346413659687,0.963093528020042
-85.3,1.72776096593744,4.44661139846987,2.24327436645408,0.963021999713907
-85.2,1.72741386926639,4.44723899041009,2.24307499264895,0.962945863982707
-85.1,1.72708519511561,4.44789659808117,2.2428656585943,0.962864938995347
-85,1.72677659042675,4.44858528820378,2.24264599961085,0.962779041179235
-84.9,1.72648973937436,4.44930615020738,2.24241564286882,0.962687985437802
-84.8,1.7262263634609,4.45006029613236,2.24217420732627,0.962591585381223
-84.7,1.72598822160282,4.45084886051615,2.24192130366418,0.96248965357085
-84.6,1.72577711020689,4.45167300026198,2.24165653421791,0.962382001777858
-84.5,1.72559486323625,4.45253389448985,2.24137949290535,0.962268441256587
-84.4,1.72544335226529,4.45343274436866,2.2410897651512,0.962148783033084
-84.3,1.7253244865228,4.45437077292853,2.24078692780775,0.962022838209373
-84.2,1.72524021292262,4.45534922485272,2.24047054907184,0.961890418283924
-84.1,1.72519251608086,4.45636936624788,2.24014018839786,0.96175133548885
-84,1.7251834183192,4.45743248439207,2.23979539640695,0.961605403144349
-83.9,1.72521497965333,4.45853988745935,2.23943571479226,0.961452436030869
-83.8,1.72528929776566,4.45969290422025,2.23906067622001,0.961292250779523
-83.7,1.72540850796176,4.46089288371704,2.2386698042267,0.961124666281268
-83.6,1.7255747831094,4.46214119491293,2.23826261311206,0.960949504115318
-83.5,1.72579033355959,4.46343922631423,2.23783860782784,0.960766588997322
-83.4,1.72605740704864,4.46478838556459,2.23739728386261,0.960575749247779
-83.3,1.72637828858052,4.46619009901035,2.23693812712222,0.960376817281204
-83.2,1.72675530028848,4.46764581123595,2.23646061380613,0.960169630116482
-83.1,1.72719080127522,4.46915698456871,2.23596421027963,0.959954029908951
-83,1.72768718743062,4.47072509855174,2.23544837294188,0.959729864504608
-82.9,1.72824689122619,4.47235164938431,2.23491254808983,0.959496988016963
-82.8,1.7288723814853,4.47403814932853,2.23435617177814,0.959255261426929
-82.7,1.72956616312836,4.47578612608164,2.23377866967504,0.959004553206235
-82.6,1.73033077689189,4.47759712211268,2.23317945691436,0.958744739964731
